[2016-05-30 14:50:07] my_logger.INFO: home page loaded [] []
[2016-05-30 14:50:24] my_logger.INFO: home page loaded [] []
[2016-05-30 14:52:20] my_logger.INFO: home page loaded [] []
[2016-05-30 14:52:51] my_logger.INFO: home page loaded [] []
[2016-05-30 15:00:55] my_logger.INFO: home page loaded [] []
[2016-05-30 15:01:40] my_logger.INFO: home page loaded [] []
[2016-05-30 15:02:01] my_logger.INFO: home page loaded [] []
[2016-05-30 15:05:20] my_logger.INFO: home page loaded [] []
[2016-05-30 15:10:51] my_logger.INFO: home page loaded [] []
[2016-05-30 15:11:28] my_logger.INFO: home page loaded [] []
[2016-05-30 15:11:43] my_logger.INFO: home page loaded [] []
[2016-05-30 15:11:46] my_logger.INFO: places answer page [] []
[2016-05-30 15:13:00] my_logger.INFO: places answer page [] []
[2016-05-30 15:13:04] my_logger.INFO: home page loaded [] []
[2016-05-30 15:13:20] my_logger.INFO: home page loaded [] []
[2016-05-30 15:13:25] my_logger.INFO: places answer page [] []
[2016-05-30 15:14:11] my_logger.INFO: places answer page [] []
[2016-05-30 15:14:30] my_logger.INFO: places answer page [] []
[2016-05-30 15:14:39] my_logger.INFO: places answer page [] []
[2016-05-30 15:14:46] my_logger.INFO: places answer page [] []
[2016-05-30 15:15:10] my_logger.INFO: places answer page [] []
[2016-05-30 15:15:16] my_logger.INFO: places answer page [] []
[2016-05-30 15:15:20] my_logger.INFO: places answer page [] []
[2016-05-30 15:16:01] my_logger.INFO: places answer page [] []
[2016-05-30 15:17:27] my_logger.INFO: places answer page [] []
[2016-05-30 15:17:40] my_logger.INFO: places answer page [] []
[2016-05-30 15:24:42] my_logger.INFO: home page loaded [] []
[2016-05-30 15:26:34] my_logger.INFO: home page loaded [] []
[2016-05-30 15:26:54] my_logger.INFO: home page loaded [] []
[2016-05-30 15:27:34] my_logger.INFO: home page loaded [] []
[2016-05-30 15:27:35] my_logger.INFO: home page loaded [] []
[2016-05-30 15:27:38] my_logger.INFO: places answer page [] []
[2016-05-30 15:29:07] my_logger.INFO: places answer page [] []
[2016-05-30 15:29:12] my_logger.INFO: home page loaded [] []
[2016-05-30 15:29:15] my_logger.INFO: places answer page [] []
[2016-05-30 15:29:42] my_logger.INFO: places answer page [] []
[2016-05-30 15:29:48] my_logger.INFO: home page loaded [] []
[2016-05-30 15:29:50] my_logger.INFO: places answer page [] []
[2016-05-30 15:30:51] my_logger.INFO: places answer page [] []
[2016-05-30 15:30:53] my_logger.INFO: places answer page [] []
[2016-05-30 15:30:58] my_logger.INFO: places answer page [] []
[2016-05-30 15:31:33] my_logger.INFO: places answer page [] []
[2016-05-30 15:31:39] my_logger.INFO: home page loaded [] []
[2016-05-30 15:31:42] my_logger.INFO: places answer page [] []
[2016-05-30 15:32:35] my_logger.INFO: home page loaded [] []
[2016-05-30 15:32:38] my_logger.INFO: places answer page [] []
[2016-05-30 15:33:15] my_logger.INFO: home page loaded [] []
[2016-05-30 15:33:16] my_logger.INFO: home page loaded [] []
[2016-05-30 15:33:19] my_logger.INFO: places answer page [] []
[2016-05-30 15:34:19] my_logger.INFO: home page loaded [] []
[2016-05-30 15:34:33] my_logger.INFO: home page loaded [] []
[2016-05-30 15:34:38] my_logger.INFO: places answer page [] []
[2016-05-30 15:35:09] my_logger.INFO: home page loaded [] []
[2016-05-30 15:35:12] my_logger.INFO: places answer page [] []
[2016-05-30 15:35:21] my_logger.INFO: home page loaded [] []
[2016-05-30 15:35:25] my_logger.INFO: places answer page [] []
[2016-05-30 15:35:52] my_logger.INFO: places answer page [] []
[2016-05-30 15:35:58] my_logger.INFO: places answer page [] []
[2016-05-30 15:36:02] my_logger.INFO: home page loaded [] []
[2016-05-30 15:36:05] my_logger.INFO: places answer page [] []
